"","Fish_Name","Iwate","Miyagi"
"1","abalone",0.00191639252684501,0.000406660316080909
"2","albacore_tuna",0.0113315436658184,0.0184946883477893
"3","amberstripe_scad",0.00000387933709887654,0
"4","atka_mackerel",0.0000116380112966296,0
"5","auxis",0.00148190677177084,0.0007241896039797
"6","bastard_halibut",0.00115604245546521,0.00557440305422323
"7","bigeye_tuna",0.0203820371174974,0.0324752614974384
"8","blackhead_seabream_and_goldlined_seabream",0.00000387933709887654,0.0000557068926138231
"9","blue_marlin",0.0014547514120787,0.00174733953165358
"10","bluefin_tuna",0.0033245918937372,0.00510832205268758
"11","broadbanded_thornyhead",0.002828036745081,0.000742758568184308
"12","cod",0.0477391223387748,0.0171892901642054
"13","conger_eel",0.000601297250325864,0.00243439120722407
"14","crimson_seabream",0.000147414809757309,0.00002413965346599
"15","crimson_seabream_and_yellowback_seabream",0.000294829619514617,0.0000464224105115193
"16","daggertooth_pike_conger",0,0
"17","dolphinfish",0,0
"18","flathead_mullet",0,0
"19","flyingfish",0,0
"20","funori_seaweed",0,0
"21","golden_cuttlefish",0,0
"22","half.crenate_ark_shell",0,0
"23","herring",0.0000193966854943827,0.000109556888807185
"24","hijiki_seaweed",0,0
"25","japanese_anchovy",0.00228492955123828,0.00387348593308117
"26","japanese_common_squid",0.0328851405871765,0.0133455145738516
"27","japanese_hard_clam",0,0
"28","japanese_jack_mackerel",0.00167587362671467,0.0060776219841681
"29","japanese_sardine",0.116283129538824,0.18908776249552
"30","japanese_seabass",0.0000969834274719136,0.00175105332449451
"31","japanese_seabream",0.000341381664701136,0.000846744767730111
"32","japanese_shrimp",0,0
"33","japanese_spanish_mackerel",0.00404226925702936,0.00116241715920844
"34","kelp",0.00517503568990131,0.0000519930997729016
"35","king_crab",0,0
"36","krill",0.109571876357768,0.0362837560558035
"37","largehead_hairtail",0.0000116380112966296,0.000469794794376575
"38","lizardfish",0,0
"39","mackerel",0.14934284029545,0.0863345421729031
"40","manila_clam",0.0000698280677797778,0.000204258606250685
"41","marine_mammals",0.00151682080566073,0.00009655861386396
"42","marlin",0.000469399788964062,0.000904308556764395
"43","neon_flying_squid",0.0014547514120787,0.000729760293241083
"44","octopus",0.0156259698342747,0.0078620994442309
"45","other_crab",0.000360778350195519,0.000549641340456388
"46","other_croaker",0,0
"47","other_fish",0.0442244429271926,0.096207660440493
"48","other_fish.1",0.00124138787164049,0.000642486161479427
"49","other_kajiki",0.000368537024393272,0.000345382734205703
"50","other_seaweed",0.00386381975048104,0.000824462010684582
"51","other_shellfish",0.00127630190553038,0.00264050670989522
"52","other_shrimp",0,0.0000185689642046077
"53","other_squid",0.00659099373099125,0.0122425181000979
"54","other_tuna",0,0
"55","pollock",0.0401627769846689,0.0108219923384454
"56","pufferfish",0.000876730184346099,0.000785467185854906
"57","rays",0,0
"58","red_rock_fish",0,0
"59","red_snow_crab",0,0.0000445655140910585
"60","redwing_searobin",0,0
"61","righteye_flounder",0.00544270994972379,0.0167194953698288
"62","round_herring",0.000170690832350568,0.00084303097488919
"63","rudderfish",0,0
"64","salmon",0.0665500279312271,0.00945160278014532
"65","sand_lance",0.00664142511327664,0.00710077191184199
"66","sandfish",0,0
"67","saury",0.120984886102663,0.0669206900969857
"68","scallop",0,0
"69","sea_cucumber",0.000321984979206753,0.000298960323694184
"70","sea_urchin",0.00986127490534417,0.00259594119580416
"71","shad",0,0.0000464224105115193
"72","shark",0.0161264043200298,0.0799598167614612
"73","skipjack",0.000147414809757309,0.160498985206106
"74","smelt",0,0
"75","snow_crab",0,0.00000742758568184308
"76","southern_bluefin_tuna",0.00681211594562721,0.00610176163763409
"77","spiny_lobster",0,0
"78","spiny_red_gurnard",0,0
"79","spiny_top_shell",0,0
"80","surf_clam",0,0
"81","swimming_crab",0.000236639563031469,0.00333312907472708
"82","swordfish",0.00422847743777543,0.01382273695391
"83","tengusa_seaweed",0,0
"84","threeline_grunt",0,0
"85","tilefish",0,0
"86","trout",0.00108233505058656,0.0000631344782956662
"87","wakame_seaweed",0,0
"88","whitebait",0,0.000586779268865603
"89","yellow_croaker",0,0
"90","yellowback_seabream",0,0
"91","yellowfin_tuna",0.0159285581279871,0.0488326620652773
"92","yellowtail",0.112954658307988,0.023478598340306
