"time","management","biomass","harvest","profit","manag"
1,"BAU",76150891.9256702,3159549.58011093,1609040443.6954,"BAU"
1,"econOpt",76150891.9256702,3159549.58011093,1609040443.6954,"Econ. opt."
1,"FMSY",76150891.9256702,3159549.58011093,1609040443.6954,"FMSY"
2,"BAU",76894186.9325077,3145154.84167334,1542509499.30447,"BAU"
2,"econOpt",76894186.9325077,2128571.55043258,5248772023.27916,"Econ. opt."
2,"FMSY",76894186.9325077,2913448.30893366,3216859352.04147,"FMSY"
3,"BAU",77682017.4931045,3134225.81372024,1485764647.75834,"BAU"
3,"econOpt",78698600.7843453,1613795.91038329,3422935339.62451,"Econ. opt."
3,"FMSY",77913724.0258442,2944653.29130515,3249584732.46074,"FMSY"
4,"BAU",78509939.2770524,3126414.35143401,1437769206.97682,"BAU"
4,"econOpt",81143571.2146077,1554609.6603144,3283345581.47582,"Econ. opt."
4,"FMSY",78957001.2639292,2977117.94884859,3288194670.05838,"FMSY"
5,"BAU",79373905.142129,3121412.46274464,1397614085.46005,"BAU"
5,"econOpt",83742246.792021,1536247.52983636,3212552008.82615,"Econ. opt."
5,"FMSY",80020137.7430405,3010629.15436328,3331668184.84694,"FMSY"
6,"BAU",80270210.2764484,3118946.39074881,1364498299.37041,"BAU"
6,"econOpt",86447909.2446945,1540920.9551986,3189516132.31411,"Econ. opt."
6,"FMSY",81099787.7573299,3045008.92248446,3379180077.26837,"FMSY"
7,"BAU",81195447.1112205,3118771.73034837,1337712995.14478,"BAU"
7,"econOpt",89232592.6901089,1561998.49456958,3203293312.56252,"Econ. opt."
7,"FMSY",82193025.0279945,3080106.29881229,3430053611.83381,"FMSY"
8,"BAU",82146468.0881541,3120669.37528988,1316628265.78705,"BAU"
8,"econOpt",92075244.5691814,1596245.26076554,3242723318.31706,"Econ. opt."
8,"FMSY",83297258.5734126,3115791.49952112,3483726473.31402,"FMSY"
9,"BAU",83120354.7769631,3124442.13629735,1300682208.82061,"BAU"
9,"econOpt",94958222.094736,1642014.08354073,3304872668.3387,"Econ. opt."
9,"FMSY",84410170.5271814,3151951.60656335,3539725872.98315,"FMSY"
10,"BAU",84114392.1525661,3129911.90485981,1289371794.55532,"BAU"
10,"econOpt",97865599.883868,1699046.74027676,3387116105.58468,"Econ. opt."
10,"FMSY",85529669.4494632,3188487.35685634,3597650071.48394,"FMSY"
11,"BAU",85126047.0834221,3136917.2632154,1282245205.18749,"BAU"
11,"econOpt",100781747.997959,1763764.85044881,3483028459.68491,"Econ. opt."
11,"FMSY",86653854.7516898,3225310.71307249,3657154472.48341,"FMSY"
12,"BAU",86152950.2701867,3145311.4611529,1278895375.73171,"BAU"
12,"econOpt",103694653.93868,1836749.55524108,3593298950.30714,"Econ. opt."
12,"FMSY",87780989.2104519,3262343.00101272,3717941019.59503,"FMSY"
13,"BAU",87192881.0207065,3154960.69588322,1278954522.26018,"BAU"
13,"econOpt",106591802.417539,1918161.70429648,3717710461.49029,"Econ. opt."
13,"FMSY",88909477.4488038,3299513.46322065,3779750012.61817,"FMSY"
14,"BAU",88243754.3630872,3165742.64348571,1282089485.3291,"BAU"
14,"econOpt",109460616.30236,2006037.38197788,3852261894.69521,"Econ. opt."
14,"FMSY",90037848.874131,3336758.12218289,3842353717.78298,"FMSY"
15,"BAU",89303610.0903939,3177545.20010054,1287997749.70065,"BAU"
15,"econOpt",112290591.929086,2098460.16945807,3993296285.69951,"Econ. opt."
15,"FMSY",91164743.9819022,3374018.87643104,3905551323.75659,"FMSY"
16,"BAU",90370603.4039121,3190265.39871261,1296404027.67458,"BAU"
16,"econOpt",115073286.685437,2196558.47125056,4140815321.46235,"Econ. opt."
16,"FMSY",92288903.2278788,3411242.7737181,3969164918.11692,"FMSY"
17,"BAU",91442996.8809015,3203808.47350051,1307057314.13552,"BAU"
17,"econOpt",117799280.597045,2297270.27971709,4292806694.6312,"Econ. opt."
17,"FMSY",93409157.8788689,3448381.42015378,4033036245.50304,"FMSY"
18,"BAU",92519153.5405117,3218087.04864585,1319728338.01468,"BAU"
18,"econOpt",120462364.294551,2402556.32125712,4449931951.96906,"Econ. opt."
18,"FMSY",94524422.4008506,3485390.49468964,4097024070.26277,"FMSY"
19,"BAU",93597530.8203994,3233020.43247214,1334207348.17921,"BAU"
19,"econOpt",123054572.101388,2508950.44507608,4608457229.01909,"Econ. opt."
19,"FMSY",95633688.051202,3522229.34593866,4161002010.8088,"FMSY"
20,"BAU",94676675.3083799,3248534.00100787,1350302182.50187,"BAU"
20,"econOpt",125571601.54258,2617815.94409973,4767599254.6472,"Econ. opt."
20,"FMSY",96736017.4209529,3558860.65386109,4224856745.22333,"FMSY"
21,"BAU",95755218.0996283,3264558.65769872,1367836577.57018,"BAU"
21,"econOpt",128007989.135344,2727308.62055823,4927145428.55883,"Econ. opt."
21,"FMSY",97830539.7317023,3595250.14294439,4288486511.43556,"FMSY"
22,"BAU",96831870.6715689,3281030.35814978,1386648683.58525,"BAU"
22,"econOpt",130360263.635732,2836317.38878818,5084398440.75012,"Econ. opt."
22,"FMSY",98916446.7358368,3631366.33655801,4351799842.96164,"FMSY"
23,"BAU",97905421.186567,3297889.69055231,1406589754.80263,"BAU"
23,"econOpt",132626267.444681,2943894.0832447,5238274006.1231,"Econ. opt."
23,"FMSY",99992989.1019507,3667180.34446063,4414714494.43511,"FMSY"
24,"BAU",98974731.1475145,3315081.50391681,1427522990.63429,"BAU"
24,"econOpt",134804982.094354,3054585.06085969,5392635684.3561,"Econ. opt."
24,"FMSY",101059473.192754,3702665.67717999,4477156521.16162,"FMSY"
25,"BAU",100038732.343933,3332554.57745065,1449322506.46425,"BAU"
25,"econOpt",136891025.683606,3162886.10821666,5543502321.8336,"Econ. opt."
25,"FMSY",102115258.162275,3737798.08231898,4539059484.55422,"FMSY"
26,"BAU",101096424.036743,3350261.32543292,1471872416.48727,"BAU"
26,"econOpt",138884642.732568,3267761.25131166,5687857122.69995,"Econ. opt."
26,"FMSY",103159753.314311,3772555.39886853,4600363761.15634,"FMSY"
27,"BAU",102146870.338699,3368157.53278701,1495066013.58718,"BAU"
27,"econOpt",140787295.98142,3368927.21714272,5825764388.82506,"Econ. opt."
27,"FMSY",104192415.675883,3806917.42640568,4661015937.48332,"FMSY"
28,"BAU",103189197.754952,3386202.11726258,1518805033.52957,"BAU"
28,"econOpt",142600899.411501,3471202.50793072,5959497329.49182,"Econ. opt."
28,"FMSY",105212747.748762,3840865.80667823,4720968276.43344,"FMSY"
29,"BAU",104222592.854503,3404356.91473744,1542998992.63248,"BAU"
29,"econOpt",144322701.547967,3569982.33718175,6087337159.17765,"Econ. opt."
29,"FMSY",106220295.409466,3874383.91556736,4780178243.77745,"FMSY"
30,"BAU",105246300.048636,3422586.48465549,1567564589.66442,"BAU"
30,"econOpt",145954647.536888,3665541.42137862,6209458703.42009,"Econ. opt."
30,"FMSY",107214645.933971,3907456.76380683,4838608085.40808,"FMSY"
31,"BAU",106259619.456912,3440857.93304446,1592425164.05331,"BAU"
31,"econOpt",147498558.264731,3757536.55201764,6325519360.1349,"Econ. opt."
31,"FMSY",108195426.128071,3940070.90514548,4896224447.75361,"FMSY"
32,"BAU",107261904.845111,3459140.75092068,1617510203.61619,"BAU"
32,"econOpt",148956742.863032,3849437.73793948,6436962245.16146,"Econ. opt."
32,"FMSY",109162300.548031,3972214.35088568,4952998035.13131,"FMSY"
33,"BAU",108252561.622706,3477406.66619702,1642754895.97208,"BAU"
33,"econOpt",150328175.025502,3938209.43936865,6542767285.79727,"Econ. opt."
33,"FMSY",110114969.799231,4003876.48992751,5008903298.91585,"FMSY"
34,"BAU",109231044.890134,3495629.50747351,1668099718.60847,"BAU"
34,"econOpt",151614958.126537,4025244.58398582,6644658288.49206,"Econ. opt."
34,"FMSY",111053168.902924,4035048.01360786,5063918154.282,"FMSY"
35,"BAU",110196857.528419,3513785.07831538,1693490063.2583,"BAU"
35,"econOpt",152817920.106396,4109830.19587643,6741906173.84482,"Econ. opt."
35,"FMSY",111976665.723216,4065720.84475161,5118023720.99594,"FMSY"
36,"BAU",111149548.325544,3531851.04081569,1718875890.8292,"BAU"
36,"econOpt",153938729.838307,4189916.59649364,6833026701.23196,"Econ. opt."
36,"FMSY",112885259.447961,4095888.07045656,5171204085.31017,"FMSY"
37,"BAU",112088710.135563,3549806.80740487,1744211413.62545,"BAU"
37,"econOpt",154981222.47209,4269920.99688181,6921763140.97563,"Econ. opt."
37,"FMSY",113778779.118588,4125543.87821849,5223446080.49026,"FMSY"
38,"BAU",113013978.067727,3567633.44001097,1769454802.02975,"BAU"
38,"econOpt",155944914.423472,4345829.61396726,7005461177.04334,"Econ. opt."
38,"FMSY",114657082.204931,4154683.49507136,5274739083.88916,"FMSY"
39,"BAU",113925027.70393,3585313.55579624,1794567913.17695,"BAU"
39,"econOpt",156833414.692829,4416581.66766546,7082872634.92868,"Econ. opt."
39,"FMSY",115520053.221963,4183303.12947448,5325074828.80332,"FMSY"
40,"BAU",114821573.343659,3602831.23880009,1819516039.46507,"BAU"
40,"econOpt",157651478.603842,4482127.41304734,7153813113.86266,"Econ. opt."
40,"FMSY",116367602.386072,4211399.9157239,5374447229.60712,"FMSY"
41,"BAU",115703366.276279,3620171.95690834,1844267675.01789,"BAU"
41,"econOpt",158403986.393609,4542810.29069609,7218890332.24365,"Econ. opt."
41,"FMSY",117199664.309022,4238971.86070324,5422852218.87949,"FMSY"
42,"BAU",116570193.081018,3637322.48364646,1868794298.44474,"BAU"
42,"econOpt",159095538.974109,4598945.58349293,7278652144.17563,"Econ. opt."
42,"FMSY",118016196.728244,4266017.7928197,5470287595.41702,"FMSY"
43,"BAU",117421873.955432,3654270.82436059,1893070170.44245,"BAU"
43,"econOpt",159730477.446123,4650824.49454975,7333232109.05352,"Econ. opt."
43,"FMSY",118817179.272401,4292537.31299597,5516752882.17767,"FMSY"
44,"BAU",118258261.073382,3671006.14640784,1917072144.95615,"BAU"
44,"econOpt",160312899.310915,4698940.89967591,7383155051.92194,"Econ. opt."
44,"FMSY",119602612.26149,4318530.74760937,5562249193.32515,"FMSY"
45,"BAU",119079236.973784,3687518.71302651,1940779492.7643,"BAU"
45,"econOpt",160846448.181146,4743187.72347338,7428592942.65144,"Econ. opt."
45,"FMSY",120372515.540939,4343999.10328589,5606779109.64869,"FMSY"
46,"BAU",119884712.981513,3703799.82059945,1964173736.48148,"BAU"
46,"econOpt",161334908.851681,4783839.92270723,7469927842.3667,"Econ. opt."
46,"FMSY",121126927.349319,4368944.02347055,5650346561.72173,"FMSY"
47,"BAU",120674627.661876,3719841.73905992,1987238496.08378,"BAU"
47,"econOpt",161781819.669196,4821157.69947518,7507512522.345,"Econ. opt."
47,"FMSY",121865903.219425,4393367.74670613,5692956720.23727,"FMSY"
48,"BAU",121448945.310097,3735637.65522103,2009959344.15803,"BAU"
48,"econOpt",162190482.269091,4855387.94804931,7541674817.03845,"Econ. opt."
48,"FMSY",122589514.912536,4417273.06656101,5734615893.02087,"FMSY"
49,"BAU",122207654.477219,3751181.61883637,2032323670.15976,"BAU"
49,"econOpt",162563970.520647,4886784.4404036,7572762150.93615,"Econ. opt."
49,"FMSY",123297849.385748,4440663.29315411,5775331428.27551,"FMSY"
50,"BAU",122950766.533726,3766468.49122252,2054320553.03776,"BAU"
50,"econOpt",162905119.888747,4915536.31115029,7600987462.18712,"Econ. opt."
50,"FMSY",123991007.792281,4463542.21623002,5815111623.65849,"FMSY"
